HolderAddress,Balance,PendingBalanceUpdate
0xb74ec4b9c7a4ad21120627b3f18d8f62a52d52b7,350000000,No
0xdef5745d20d620295a1b6edde650bec17cd2cf13,100000000,No
0xd6216fc19db775df9774a6e33526131da7d19a2c,72692448,No
0x56122d3b0cb9cb002101ceb0abf06ba0fe6e8174,48697161.21,No
0xbcf68cc2c4fcb0e70be344dcc48d3f682dbc3dd5,35843041.67,No
0xa778ad8bdbee705333bb808de1ea6f586ebd4cf9,21168055.23,No
0x3b3fb0893aee4dc8bdaa8bd123f8928e9c5672a5,11397316.6,No
0xe8864bcdd07983ae525cfc287b55a00066dc4f4a,10000000,No
0x65121e5f84157fd243489939bf4b0c2dc0ba1e46,6328939.2,No
0x4677e8c93d7ebd18a53212c7343bc581f91d513a,5315528.445,No
0xfb2907994ca44f9637132ae3b28fdc80801b32d8,5096480.798,No
0x6c877496f416f3158a83ff78bb318cdefa22183b,5092099.4,No
0x87a9a93c85ff01c1311243592a58a5870584f5fe,5047359.17,No
0xb8a1a865e4405281311c5bc0f90c240498472d3e,4572966.256,No
0x5e7247044f6a292d45a25a64279207496f31b9b5,3722727.728,No
0x98779de6a665b48d3b5d8d4fae012ad47a1b987f,3703704,No
0x5d35fb78e84706b5dc364cb2f5b31170b96fb777,3500000,No
0x2ad10a246b6aa59926aad477d00ca44ffb36f687,3496500,No
0x00f2b67b5a5ec2ff88b2be7d5a8d1a39d5929237,3435197.875,No
0xe0e533d2725f980fc8bd8d53acf79107bb652901,3213630,No
0xe825e6aafc7161c168e8515e004ac7c8f65b74b9,3137165.5,No
0xee96297d6645cd5d78cad54b931ee0cded7943c9,3000000,No
0x2f036fe60d3fefc1116f93f4668ed90b522a2975,2600000,No
0x333b0a894df90accb44039ba186ba2d1f79b50e7,2500000,No
0x3b03aa654ded5088b46e5da2881d6c46e12f9072,2500000,No
0x3faa4c4d5fd05094c4bfac0fa9bfb1aadce692f9,2250000,No
0x1e9b075b8fc1a9f36b74aa7adaa2166f89bb04fb,2200000,No
0x6b30c92ff126c55a0511dccdd72dcc977bca9f43,2191974.154,No
0x1963ad313f41044a9a48397f31d21bc6a3b4c643,2122553.854,No
0xb8348cfcfc9bbb6341243e863c1bb3b182d726d6,2045000,No
0x4590c87bd62f042e0cc2050c9864c91a2e0f5a18,2000000,No
